market_id,demand_intercept,demand_slope,marginal_costs,price,quantity,ps,cs,dwl,sw
1,453,8,209,209,30.5,0,3721.0,0,3721.0
2,864,2,372,372,246.0,0,60516.0,0,60516.0
3,792,8,248,248,68.0,0,18496.0,0,18496.0
4,663,1,309,309,354.0,0,62658.0,0,62658.0
5,659,8,237,237,52.75,0,11130.25,0,11130.25
6,915,8,179,179,92.0,0,33856.0,0,33856.0
7,451,8,329,329,15.25,0,930.25,0,930.25
8,818,6,390,390,71.33,0,15265.33,0,15265.33
9,520,5,179,179,68.2,0,11628.1,0,11628.1
10,456,7,333,333,17.57,0,1080.64,0,1080.64
11,715,3,178,178,179.0,0,48061.5,0,48061.5
12,985,8,315,315,83.75,0,28056.25,0,28056.25
13,841,6,336,336,84.17,0,21252.08,0,21252.08
14,856,5,234,234,124.4,0,38688.4,0,38688.4
15,830,5,321,321,101.8,0,25908.1,0,25908.1
16,871,6,181,181,115.0,0,39675.0,0,39675.0
17,707,1,123,123,584.0,0,170528.0,0,170528.0
18,476,2,128,128,174.0,0,30276.0,0,30276.0
19,903,3,234,234,223.0,0,74593.5,0,74593.5
20,670,2,370,370,150.0,0,22500.0,0,22500.0
21,700,4,138,138,140.5,0,39480.5,0,39480.5
22,622,7,236,236,55.14,0,10642.57,0,10642.57
23,509,6,311,311,33.0,0,3267.0,0,3267.0
24,956,5,160,160,159.2,0,63361.6,0,63361.6
25,868,8,316,316,69.0,0,19044.0,0,19044.0
26,786,6,191,191,99.17,0,29502.08,0,29502.08
27,641,1,342,342,299.0,0,44700.5,0,44700.5
28,893,7,273,273,88.57,0,27457.14,0,27457.14
29,727,6,264,264,77.17,0,17864.08,0,17864.08
30,666,6,153,153,85.5,0,21930.75,0,21930.75
31,670,6,238,238,72.0,0,15552.0,0,15552.0
32,536,5,356,356,36.0,0,3240.0,0,3240.0
33,455,1,105,105,350.0,0,61250.0,0,61250.0
34,732,6,327,327,67.5,0,13668.75,0,13668.75
35,932,8,247,247,85.62,0,29326.56,0,29326.56
36,438,3,315,315,41.0,0,2521.5,0,2521.5
37,914,6,298,298,102.67,0,31621.33,0,31621.33
38,896,1,229,229,667.0,0,222444.5,0,222444.5
39,566,4,192,192,93.5,0,17484.5,0,17484.5
40,778,4,288,288,122.5,0,30012.5,0,30012.5
41,499,9,142,142,39.67,0,7080.5,0,7080.5
42,854,2,275,275,289.5,0,83810.25,0,83810.25
43,820,3,128,128,230.67,0,79810.67,0,79810.67
44,612,4,294,294,79.5,0,12640.5,0,12640.5
45,440,9,288,288,16.89,0,1283.56,0,1283.56
46,982,8,125,125,107.12,0,45903.06,0,45903.06
47,667,1,327,327,340.0,0,57800.0,0,57800.0
48,935,3,224,224,237.0,0,84253.5,0,84253.5
49,806,8,336,336,58.75,0,13806.25,0,13806.25
50,867,1,112,112,755.0,0,285012.5,0,285012.5
51,855,8,153,153,87.75,0,30800.25,0,30800.25
52,516,3,248,248,89.33,0,11970.67,0,11970.67
53,618,9,156,156,51.33,0,11858.0,0,11858.0
54,680,3,198,198,160.67,0,38720.67,0,38720.67
55,698,4,298,298,100.0,0,20000.0,0,20000.0
56,426,6,143,143,47.17,0,6674.08,0,6674.08
57,727,2,303,303,212.0,0,44944.0,0,44944.0
58,492,6,131,131,60.17,0,10860.08,0,10860.08
59,846,5,152,152,138.8,0,48163.6,0,48163.6
60,809,8,276,276,66.62,0,17755.56,0,17755.56
61,953,9,338,338,68.33,0,21012.5,0,21012.5
62,846,6,151,151,115.83,0,40252.08,0,40252.08
63,619,4,189,189,107.5,0,23112.5,0,23112.5
64,980,4,377,377,150.75,0,45451.12,0,45451.12
65,646,4,396,396,62.5,0,7812.5,0,7812.5
66,595,8,274,274,40.12,0,6440.06,0,6440.06
67,943,3,234,234,236.33,0,83780.17,0,83780.17
68,622,2,204,204,209.0,0,43681.0,0,43681.0
69,445,4,283,283,40.5,0,3280.5,0,3280.5
70,681,1,277,277,404.0,0,81608.0,0,81608.0
71,877,1,188,188,689.0,0,237360.5,0,237360.5
72,513,1,106,106,407.0,0,82824.5,0,82824.5
73,677,7,145,145,76.0,0,20216.0,0,20216.0
74,477,7,387,387,12.86,0,578.57,0,578.57
75,811,7,225,225,83.71,0,24528.29,0,24528.29
76,685,5,244,244,88.2,0,19448.1,0,19448.1
77,598,7,240,240,51.14,0,9154.57,0,9154.57
78,536,2,334,334,101.0,0,10201.0,0,10201.0
79,738,9,119,119,68.78,0,21286.72,0,21286.72
80,801,5,124,124,135.4,0,45832.9,0,45832.9
81,964,9,182,182,86.89,0,33973.56,0,33973.56
