market_id,demand_intercept,demand_slope,quantity,price
17,513,1,1,512
34,555,6,7,513
29,545,6,5,515
11,526,3,3,517
57,547,2,7,533
79,564,9,1,555
40,632,4,6,608
85,630,5,4,610
3,654,8,5,614
49,678,8,8,614
99,637,4,3,625
26,644,6,3,626
60,683,8,6,635
8,697,6,9,643
86,700,5,9,655
75,686,7,4,658
80,670,5,1,665
98,682,2,4,674
15,717,5,7,682
13,736,6,8,688
43,700,3,1,697
25,781,8,7,725
62,745,6,2,733
59,743,5,2,733
14,761,5,5,736
51,760,8,2,744
42,758,2,6,746
89,768,3,5,753
2,774,2,9,756
16,786,6,3,768
50,778,1,1,777
28,822,7,6,780
92,804,6,3,786
93,841,6,9,787
71,795,1,3,792
84,832,7,5,797
90,832,3,5,817
37,858,6,6,822
38,827,1,4,823
19,839,3,5,824
6,858,8,3,834
35,888,8,5,848
61,922,9,8,850
95,898,9,5,853
48,893,3,4,881
67,905,3,5,890
81,940,9,3,913
24,926,5,2,916
12,975,8,7,919
64,967,4,9,931
46,970,8,1,962
