market_id,demand_intercept,demand_slope,quantity,price
1,180,8,4,148
2,796,2,9,778
3,689,8,5,649
4,494,1,7,487
5,489,8,5,449
6,872,8,3,848
7,177,8,7,121
8,727,6,9,673
9,281,5,3,266
10,184,7,8,128
11,573,3,3,564
12,978,8,7,922
13,762,6,8,714
14,785,5,5,760
15,745,5,7,710
16,807,6,3,789
17,561,1,1,560
18,215,2,1,213
19,855,3,5,840
20,505,2,9,487
21,550,4,2,542
22,433,7,5,398
23,264,6,7,222
24,934,5,2,924
25,803,8,7,747
26,679,6,3,661
27,462,1,8,454
28,840,7,6,798
29,590,6,5,560
30,499,6,2,487
31,505,6,5,475
32,304,5,8,264
33,182,1,1,181
34,599,6,7,557
35,899,8,5,859
36,157,3,7,136
37,872,6,6,836
38,844,1,4,840
39,349,4,3,337
40,668,4,6,644
41,248,9,2,230
42,782,2,6,770
43,730,3,1,727
44,419,4,6,395
45,161,9,6,107
46,973,8,1,965
47,501,1,7,494
48,903,3,4,891
49,710,8,8,646
50,800,1,1,799
51,783,8,2,767
52,275,3,5,260
53,427,9,2,409
54,520,3,3,511
55,548,4,6,524
56,139,6,2,127
57,591,2,7,577
58,238,6,1,232
59,769,5,2,759
60,714,8,6,666
61,930,9,8,858
62,770,6,2,758
63,429,4,3,417
64,970,4,9,934
65,469,4,9,433
66,393,8,6,345
67,914,3,5,899
68,433,2,4,425
69,168,4,6,144
70,522,1,6,516
71,816,1,3,813
72,270,1,1,269
73,516,7,2,502
74,216,7,9,153
75,717,7,4,689
76,528,5,5,503
77,397,7,5,362
78,304,2,8,288
79,608,9,1,599
80,702,5,1,697
81,946,9,3,919
82,493,2,5,483
83,244,5,7,209
84,849,7,5,814
85,666,5,4,646
86,730,5,9,685
87,187,2,2,183
88,381,4,6,357
89,791,3,5,776
90,849,3,5,834
91,491,7,8,435
92,824,6,3,806
93,857,6,9,803
94,448,4,3,436
95,908,9,5,863
96,359,1,5,354
97,315,4,8,283
98,714,2,4,706
99,673,4,3,661
100,225,9,1,216
