market_id,demand_intercept,demand_slope,marginal_costs
1,180,8,429
2,796,2,917
3,689,8,545
4,494,1,729
5,489,8,511
6,872,8,339
7,177,8,787
8,727,6,972
9,281,5,337
10,184,7,800
11,573,3,335
12,978,8,745
13,762,6,810
14,785,5,504
15,745,5,763
16,807,6,345
17,561,1,171
18,215,2,186
19,855,3,502
20,505,2,912
21,550,4,214
22,433,7,510
23,264,6,733
24,934,5,282
25,803,8,749
26,679,6,375
27,462,1,827
28,840,7,621
29,590,6,592
30,499,6,259
31,505,6,516
32,304,5,870
33,182,1,117
34,599,6,782
35,899,8,543
36,157,3,747
37,872,6,696
38,844,1,488
39,349,4,377
40,668,4,664
41,248,9,226
42,782,2,625
43,730,3,185
44,419,4,684
45,161,9,665
46,973,8,175
47,501,1,781
48,903,3,474
49,710,8,808
50,800,1,137
51,783,8,261
52,275,3,544
53,427,9,269
54,520,3,396
55,548,4,694
56,139,6,230
57,591,2,709
58,238,6,193
59,769,5,257
60,714,8,628
61,930,9,814
62,770,6,253
63,429,4,369
64,970,4,932
65,469,4,990
66,393,8,622
67,914,3,502
68,433,2,412
69,168,4,651
70,522,1,631
71,816,1,365
72,270,1,120
73,516,7,236
74,216,7,962
75,717,7,476
76,528,5,534
77,397,7,520
78,304,2,804
79,608,9,158
80,702,5,174
81,946,9,348
82,493,2,537
83,244,5,704
84,849,7,541
85,666,5,497
86,730,5,944
87,187,2,244
88,381,4,614
89,791,3,588
90,849,3,526
91,491,7,826
92,824,6,340
93,857,6,958
94,448,4,398
95,908,9,590
96,359,1,568
97,315,4,864
98,714,2,495
99,673,4,356
100,225,9,119
