market_id,marginal_costs
1,180
2,796
3,689
4,494
5,489
6,872
7,177
8,727
9,281
10,184
11,573
12,978
13,762
14,785
15,745
16,807
17,561
18,215
19,855
20,505
21,550
22,433
23,264
24,934
25,803
26,679
27,462
28,840
29,590
30,499
31,505
32,304
33,182
34,599
35,899
36,157
37,872
38,844
39,349
40,668
41,248
42,782
43,730
44,419
45,161
46,973
47,501
48,903
49,710
50,800
51,783
52,275
53,427
54,520
55,548
56,139
57,591
58,238
59,769
60,714
61,930
62,770
63,429
64,970
65,469
66,393
67,914
68,433
69,168
70,522
71,816
72,270
73,516
74,216
75,717
76,528
77,397
78,304
79,608
80,702
81,946
82,493
83,244
84,849
85,666
86,730
87,187
88,381
89,791
90,849
91,491
92,824
93,857
94,448
95,908
96,359
97,315
98,714
99,673
100,225
