market_id,demand_intercept,demand_slope,quantity,price
1,90,8,4,58
2,774,2,9,756
3,654,8,5,614
4,439,1,7,432
5,433,8,5,393
6,858,8,3,834
7,86,8,7,30
8,697,6,9,643
9,202,5,3,187
10,95,7,8,39
11,526,3,3,517
12,975,8,7,919
13,736,6,8,688
14,761,5,5,500
15,717,5,7,682
16,786,6,3,768
1,90,8,4,58
17,513,1,1,512
18,128,2,1,126
19,839,3,5,824
20,450,2,9,500
21,500,4,2,492
22,371,7,5,336
23,183,6,7,141
24,926,5,2,916
25,781,8,7,725
26,644,6,3,626
27,403,1,8,395
28,822,7,6,780
29,545,6,5,515
30,443,6,2,431
31,451,6,5,421
32,228,5,8,500
33,93,1,1,92
1,90,8,4,58
34,555,6,7,513
35,888,8,5,500
36,64,3,7,43
37,858,6,6,822
38,827,1,4,823
39,277,4,3,265
40,632,4,6,608
41,166,9,2,148
42,758,2,6,746
43,700,3,1,697
44,355,4,6,331
45,68,9,6,14
46,970,8,1,962
47,446,1,7,439
48,893,3,4,881
49,678,8,8,614
50,778,1,1,777
51,760,8,2,744
52,195,3,5,180
53,364,9,2,346
54,467,3,3,458
55,498,4,6,474
56,44,6,2,32
57,547,2,7,-225
58,155,6,1,149
59,743,5,2,733
60,683,8,6,635
61,922,9,8,850
62,745,6,2,733
63,367,4,3,355
64,967,4,9,931
65,411,4,9,375
66,326,8,6,278
67,905,3,5,890
68,371,2,4,363
69,77,4,6,53
70,470,1,6,464
71,795,1,3,792
72,190,1,1,189
73,463,7,2,449
74,130,7,9,67
75,686,7,4,658
76,476,5,5,451
77,330,7,5,295
78,227,2,8,211
79,564,9,1,555
80,670,5,1,665
81,940,9,3,913
82,437,2,5,427
83,161,5,7,126
84,832,7,5,797
85,630,5,4,610
86,700,5,9,655
87,98,2,2,94
88,313,4,6,289
89,768,3,5,753
90,832,3,5,817
91,435,7,8,379
92,804,6,3,786
93,841,6,9,787
94,388,4,3,376
95,898,9,5,853
96,289,1,5,284
97,240,4,8,208
98,682,2,4,674
99,637,4,3,625
100,140,9,1,131
