market_id,marginal_costs
1,429
2,917
3,545
4,729
5,511
6,339
7,787
8,972
9,337
10,800
11,335
12,745
13,810
14,504
15,763
16,345
17,171
18,186
19,502
20,912
21,214
22,510
23,733
24,282
25,749
26,375
27,827
28,621
29,592
30,259
31,516
32,870
33,117
34,782
35,543
36,747
37,696
38,488
39,377
40,664
41,226
42,625
43,185
44,684
45,665
46,175
47,781
48,474
49,808
50,137
51,261
52,544
53,269
54,396
55,694
56,230
57,709
58,193
59,257
60,628
61,814
62,253
63,369
64,932
65,990
66,622
67,502
68,412
69,651
70,631
71,365
72,120
73,236
74,962
75,476
76,534
77,520
78,804
79,158
80,174
81,348
82,537
83,704
84,541
85,497
86,944
87,244
88,614
89,588
90,526
91,826
92,340
93,958
94,398
95,590
96,568
97,864
98,495
99,356
100,119
