market_id,demand_intercept,demand_slope
1,453,8
2,864,2
3,792,8
4,663,1
5,659,8
6,915,8
7,451,8
8,818,6
9,520,5
10,456,7
11,715,3
12,985,8
13,841,6
14,856,5
15,830,5
16,871,6
17,707,1
18,476,2
19,903,3
20,670,2
21,700,4
22,622,7
23,509,6
24,956,5
25,868,8
26,786,6
27,641,1
28,893,7
29,727,6
30,666,6
31,670,6
32,536,5
33,455,1
34,732,6
35,932,8
36,438,3
37,914,6
38,896,1
39,566,4
40,778,4
41,499,9
42,854,2
43,820,3
44,612,4
45,440,9
46,982,8
47,667,1
48,935,3
49,806,8
50,867,1
51,855,8
52,516,3
53,618,9
54,680,3
55,698,4
56,426,6
57,727,2
58,492,6
59,846,5
60,809,8
61,953,9
62,846,6
63,619,4
64,980,4
65,646,4
66,595,8
67,943,3
68,622,2
69,445,4
70,681,1
71,877,1
72,513,1
73,677,7
74,477,7
75,811,7
76,685,5
77,598,7
78,536,2
79,738,9
80,801,5
81,964,9
82,662,2
83,496,5
84,899,7
85,777,5
86,820,5
87,458,2
88,587,4
89,860,3
90,899,3
91,661,7
92,882,6
93,905,6
94,632,4
95,938,9
96,572,1
97,543,4
98,809,2
99,782,4
100,483,9
