market_id,regime,demand_intercept,demand_slope,marginal_costs,price,quantity,ps,cs,dwl,sw,difference_between_a_and_MC,mean_dwl
1,Монополия,453,8,209,331.0,15.25,1860.5,930.25,930.25,2790.75,244,2492.937307692308
1,Совершенная конкуренция,453,8,209,209.0,30.5,0.0,3721.0,0.0,3721.0,244,2492.937307692308
2,Монополия,864,2,372,618.0,123.0,30258.0,15129.0,15129.0,45387.0,492,5586.831
2,Совершенная конкуренция,864,2,372,372.0,246.0,0.0,60516.0,0.0,60516.0,492,5586.831
3,Монополия,792,8,248,520.0,34.0,9248.0,4624.0,4624.0,13872.0,544,2492.937307692308
3,Совершенная конкуренция,792,8,248,248.0,68.0,0.0,18496.0,0.0,18496.0,544,2492.937307692308
4,Монополия,663,1,309,486.0,177.0,31329.0,15664.5,15664.5,46993.5,354,15410.390909090907
4,Совершенная конкуренция,663,1,309,309.0,354.0,0.0,62658.0,0.0,62658.0,354,15410.390909090907
5,Монополия,659,8,237,448.0,26.375,5565.125,2782.5625,2782.56,8347.6875,422,2492.937307692308
5,Совершенная конкуренция,659,8,237,237.0,52.75,0.0,11130.25,0.0,11130.25,422,2492.937307692308
6,Монополия,915,8,179,547.0,46.0,16928.0,8464.0,8464.0,25392.0,736,2492.937307692308
6,Совершенная конкуренция,915,8,179,179.0,92.0,0.0,33856.0,0.0,33856.0,736,2492.937307692308
7,Монополия,451,8,329,390.0,7.625,465.125,232.5625,232.56,697.6875,122,2492.937307692308
7,Совершенная конкуренция,451,8,329,329.0,15.25,0.0,930.25,0.0,930.25,122,2492.937307692308
8,Монополия,818,6,390,604.0,35.666666666666664,7632.666666666667,3816.3333333333335,3816.33,11449.0,428,2757.4866666666667
8,Совершенная конкуренция,818,6,390,390.0,71.33333333333333,0.0,15265.333333333334,0.0,15265.333333333334,428,2757.4866666666667
9,Монополия,520,5,179,349.5,34.1,5814.05,2907.025,2907.02,8721.075,341,3511.906363636364
9,Совершенная конкуренция,520,5,179,179.0,68.2,0.0,11628.1,0.0,11628.1,341,3511.906363636364
10,Монополия,456,7,333,394.5,8.785714285714286,540.3214285714286,270.1607142857143,270.16,810.4821428571429,123,1823.4855555555555
10,Совершенная конкуренция,456,7,333,333.0,17.571428571428573,0.0,1080.642857142857,0.0,1080.642857142857,123,1823.4855555555555
11,Монополия,715,3,178,446.5,89.5,24030.75,12015.375,12015.38,36046.125,537,6940.681
11,Совершенная конкуренция,715,3,178,178.0,179.0,0.0,48061.5,0.0,48061.5,537,6940.681
12,Монополия,985,8,315,650.0,41.875,14028.125,7014.0625,7014.06,21042.1875,670,2492.937307692308
12,Совершенная конкуренция,985,8,315,315.0,83.75,0.0,28056.25,0.0,28056.25,670,2492.937307692308
13,Монополия,841,6,336,588.5,42.083333333333336,10626.041666666666,5313.020833333333,5313.02,15939.0625,505,2757.4866666666667
13,Совершенная конкуренция,841,6,336,336.0,84.16666666666667,0.0,21252.08333333333,0.0,21252.08333333333,505,2757.4866666666667
14,Монополия,856,5,234,545.0,62.2,19344.2,9672.1,9672.1,29016.300000000003,622,3511.906363636364
14,Совершенная конкуренция,856,5,234,234.0,124.4,0.0,38688.4,0.0,38688.4,622,3511.906363636364
15,Монополия,830,5,321,575.5,50.9,12954.05,6477.025,6477.02,19431.075,509,3511.906363636364
15,Совершенная конкуренция,830,5,321,321.0,101.8,0.0,25908.1,0.0,25908.1,509,3511.906363636364
16,Монополия,871,6,181,526.0,57.5,19837.5,9918.75,9918.75,29756.25,690,2757.4866666666667
16,Совершенная конкуренция,871,6,181,181.0,115.0,0.0,39675.0,0.0,39675.0,690,2757.4866666666667
17,Монополия,707,1,123,415.0,292.0,85264.0,42632.0,42632.0,127896.0,584,15410.390909090907
17,Совершенная конкуренция,707,1,123,123.0,584.0,0.0,170528.0,0.0,170528.0,584,15410.390909090907
18,Монополия,476,2,128,302.0,87.0,15138.0,7569.0,7569.0,22707.0,348,5586.831
18,Совершенная конкуренция,476,2,128,128.0,174.0,0.0,30276.0,0.0,30276.0,348,5586.831
19,Монополия,903,3,234,568.5,111.5,37296.75,18648.375,18648.38,55945.125,669,6940.681
19,Совершенная конкуренция,903,3,234,234.0,223.0,0.0,74593.5,0.0,74593.5,669,6940.681
20,Монополия,670,2,370,520.0,75.0,11250.0,5625.0,5625.0,16875.0,300,5586.831
20,Совершенная конкуренция,670,2,370,370.0,150.0,0.0,22500.0,0.0,22500.0,300,5586.831
21,Монополия,700,4,138,419.0,70.25,19740.25,9870.125,9870.12,29610.375,562,2732.777307692308
21,Совершенная конкуренция,700,4,138,138.0,140.5,0.0,39480.5,0.0,39480.5,562,2732.777307692308
22,Монополия,622,7,236,429.0,27.571428571428573,5321.285714285715,2660.6428571428573,2660.64,7981.9285714285725,386,1823.4855555555555
22,Совершенная конкуренция,622,7,236,236.0,55.142857142857146,0.0,10642.57142857143,0.0,10642.57142857143,386,1823.4855555555555
23,Монополия,509,6,311,410.0,16.5,1633.5,816.75,816.75,2450.25,198,2757.4866666666667
23,Совершенная конкуренция,509,6,311,311.0,33.0,0.0,3267.0,0.0,3267.0,198,2757.4866666666667
24,Монополия,956,5,160,558.0,79.6,31680.8,15840.4,15840.4,47521.2,796,3511.906363636364
24,Совершенная конкуренция,956,5,160,160.0,159.2,0.0,63361.6,0.0,63361.6,796,3511.906363636364
25,Монополия,868,8,316,592.0,34.5,9522.0,4761.0,4761.0,14283.0,552,2492.937307692308
25,Совершенная конкуренция,868,8,316,316.0,69.0,0.0,19044.0,0.0,19044.0,552,2492.937307692308
26,Монополия,786,6,191,488.5,49.583333333333336,14751.041666666666,7375.520833333333,7375.52,22126.5625,595,2757.4866666666667
26,Совершенная конкуренция,786,6,191,191.0,99.16666666666669,0.0,29502.08333333333,0.0,29502.08333333333,595,2757.4866666666667
27,Монополия,641,1,342,491.5,149.5,22350.25,11175.125,11175.12,33525.375,299,15410.390909090907
27,Совершенная конкуренция,641,1,342,342.0,299.0,0.0,44700.5,0.0,44700.5,299,15410.390909090907
28,Монополия,893,7,273,583.0,44.285714285714285,13728.57142857143,6864.285714285715,6864.29,20592.857142857145,620,1823.4855555555555
28,Совершенная конкуренция,893,7,273,273.0,88.57142857142857,0.0,27457.14285714286,0.0,27457.14285714286,620,1823.4855555555555
29,Монополия,727,6,264,495.5,38.583333333333336,8932.041666666666,4466.020833333333,4466.02,13398.0625,463,2757.4866666666667
29,Совершенная конкуренция,727,6,264,264.0,77.16666666666667,0.0,17864.083333333332,0.0,17864.083333333332,463,2757.4866666666667
30,Монополия,666,6,153,409.5,42.75,10965.375,5482.6875,5482.69,16448.0625,513,2757.4866666666667
30,Совершенная конкуренция,666,6,153,153.0,85.5,0.0,21930.75,0.0,21930.75,513,2757.4866666666667
31,Монополия,670,6,238,454.0,36.0,7776.0,3888.0,3888.0,11664.0,432,2757.4866666666667
31,Совершенная конкуренция,670,6,238,238.0,72.0,0.0,15552.0,0.0,15552.0,432,2757.4866666666667
32,Монополия,536,5,356,446.0,18.0,1620.0,810.0,810.0,2430.0,180,3511.906363636364
32,Совершенная конкуренция,536,5,356,356.0,36.0,0.0,3240.0,0.0,3240.0,180,3511.906363636364
33,Монополия,455,1,105,280.0,175.0,30625.0,15312.5,15312.5,45937.5,350,15410.390909090907
33,Совершенная конкуренция,455,1,105,105.0,350.0,0.0,61250.0,0.0,61250.0,350,15410.390909090907
34,Монополия,732,6,327,529.5,33.75,6834.375,3417.1875,3417.19,10251.5625,405,2757.4866666666667
